Kind,Name,File,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CCViolDensityCode,CCViolDensityLine,CountCCViol,CountCCViolType,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic
File,"D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\vehicle\lincoln\lincoln_controller.h",D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\vehicle\lincoln\lincoln_controller.h,0,0,0,0,0,0.00,0.00,0,0,,,,1,,,,,,0,,,,,,,,,,,,,,163,28,59,0,0,61,0,19,,44,44,44,0,0,,0,,0,,1.03,0
File,"D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\vehicle\lincoln\lincoln_controller_test.cc",D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\vehicle\lincoln\lincoln_controller_test.cc,9,0,9,0,1,0.00,0.00,0,0,,,,1,,,,,,5,,,,,,,,,,,,,,104,14,65,22,0,18,0,10,,41,12,12,0,0,,1,,0,,0.28,5
File,"D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\vehicle\lincoln\lincoln_message_manager.cc",D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\vehicle\lincoln\lincoln_message_manager.cc,14,1,13,1,1,0.00,0.00,0,0,,,,0,,,,,,2,,,,,,,,,,,,,,77,7,31,8,22,19,0,23,,22,23,1,0,22,,1,,0,,0.61,2
File,"D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\vehicle\lincoln\lincoln_message_manager.h",D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\vehicle\lincoln\lincoln_message_manager.h,0,0,0,0,0,0.00,0.00,0,0,,,,1,,,,,,0,,,,,,,,,,,,,,58,8,13,0,0,36,0,5,,4,3,3,0,0,,0,,0,,2.77,0
File,"D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\vehicle\lincoln\lincoln_message_manager_test.cc",D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\vehicle\lincoln\lincoln_message_manager_test.cc,7,0,7,0,1,0.00,0.00,0,0,,,,1,,,,,,22,,,,,,,,,,,,,,225,28,159,71,63,18,0,23,,87,86,44,0,63,,1,,0,,0.11,22
File,"D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\vehicle\lincoln\lincoln_vehicle_factory.cc",D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\vehicle\lincoln\lincoln_vehicle_factory.cc,5,0,5,0,1,0.00,0.00,0,0,,,,0,,,,,,2,,,,,,,,,,,,,,39,6,13,6,0,17,0,5,,2,1,1,0,0,,1,,0,,1.31,2
File,"D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\vehicle\lincoln\lincoln_vehicle_factory.h",D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\vehicle\lincoln\lincoln_vehicle_factory.h,1,0,1,0,1,0.00,0.00,0,0,,,,1,,,,,,1,,,,,,,,,,,,,,68,10,11,0,0,42,0,8,,4,3,3,0,0,,0,,0,,3.82,0
File,"D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\vehicle\lincoln\lincoln_vehicle_factory_test.cc",D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\vehicle\lincoln\lincoln_vehicle_factory_test.cc,3,0,3,0,1,0.00,0.00,0,0,,,,1,,,,,,4,,,,,,,,,,,,,,49,9,22,12,1,17,0,3,,8,6,6,0,0,,1,,0,,0.77,4
File,"D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\vehicle\lincoln\protocol\accel_6b.cc",D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\vehicle\lincoln\protocol\accel_6b.cc,7,0,7,0,1,0.00,0.00,0,0,,,,0,,,,,,5,,,,,,,,,,,,,,75,12,44,22,21,18,0,4,,18,18,6,0,16,,2,,1,,0.41,6
File,"D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\vehicle\lincoln\protocol\accel_6b.h",D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\vehicle\lincoln\protocol\accel_6b.h,0,0,0,0,0,0.00,0.00,0,0,,,,1,,,,,,0,,,,,,,,,,,,,,98,11,22,0,0,64,0,5,,7,7,7,0,0,,0,,0,,2.91,0
File,"D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\vehicle\lincoln\protocol\accel_6b_test.cc",D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\vehicle\lincoln\protocol\accel_6b_test.cc,9,1,9,0,1,0.00,0.00,0,0,,,,1,,,,,,2,,,,,,,,,,,,,,50,7,26,13,13,18,0,2,,15,16,6,0,10,,1,,0,,0.69,2
File,"D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\vehicle\lincoln\protocol\brake_60.cc",D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\vehicle\lincoln\protocol\brake_60.cc,7,0,7,0,1,0.00,0.00,0,0,,,,0,,,,,,13,,,,,,,,,,,,,,135,21,94,29,55,21,0,2,,50,51,10,0,47,,2,,1,,0.22,17
File,"D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\vehicle\lincoln\protocol\brake_60.h",D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\vehicle\lincoln\protocol\brake_60.h,0,0,0,0,0,0.00,0.00,0,0,,,,1,,,,,,0,,,,,,,,,,,,,,149,21,33,0,0,94,0,5,,22,22,22,0,0,,0,,0,,2.85,0
File,"D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\vehicle\lincoln\protocol\brake_60_test.cc",D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\vehicle\lincoln\protocol\brake_60_test.cc,8,0,8,0,1,0.00,0.00,0,0,,,,1,,,,,,2,,,,,,,,,,,,,,47,6,24,11,12,18,0,2,,13,14,4,0,10,,1,,0,,0.75,2
File,"D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\vehicle\lincoln\protocol\brake_61.cc",D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\vehicle\lincoln\protocol\brake_61.cc,7,0,6,0,1,0.00,0.00,0,0,,,,0,,,,,,18,,,,,,,,,,,,,,175,25,124,56,69,25,0,4,,60,58,21,0,55,,1,,0,,0.20,18
File,"D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\vehicle\lincoln\protocol\brake_61.h",D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\vehicle\lincoln\protocol\brake_61.h,0,0,0,0,0,0.00,0.00,0,0,,,,1,,,,,,0,,,,,,,,,,,,,,247,25,35,0,0,186,0,5,,20,20,20,0,0,,0,,0,,5.31,0
File,"D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\vehicle\lincoln\protocol\brake_61_test.cc",D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\vehicle\lincoln\protocol\brake_61_test.cc,36,3,33,0,1,0.00,0.00,0,0,,,,0,,,,,,1,,,,,,,,,,,,,,64,8,39,12,30,18,0,2,,31,32,6,0,26,,1,,0,,0.46,1
File,"D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\vehicle\lincoln\protocol\brakeinfo_74.cc",D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\vehicle\lincoln\protocol\brakeinfo_74.cc,12,0,12,0,2,0.00,0.00,0,0,,,,0,,,,,,15,,,,,,,,,,,,,,230,21,187,70,109,23,0,2,,94,114,34,16,93,,17,,1,,0.12,33
